sourceId;lat;lon;elev;value;prid;dqc
METSN20280:0;60.1403;10.2662;126;4.1;1;0
METSN64300:0;63.1257;7.7027;5;6.3;1;0
METSN87110:0;69.3073;16.1312;10;0.7;1;0
METSN81775:0;66.7435;15.4628;520;-5.4;1;0
METSN49490:0;60.3185;6.6538;12;4.7;1;0
METSN85560:0;68.155;13.615;26;2.4;1;0
METSN62700:0;62.9087;7.2436;80;6.9;1;0
METSN98400:0;70.7057;30.07;9;-7.6;1;0
METSN90800:0;70.2452;19.4997;21;-0.4;1;0
METSN57790:0;61.6788;5.2007;715;1.6;1;0
METSN20301:0;60.1665;10.2478;140;4.5;1;0
METSN47300:0;59.3065;4.8723;55;6.7;1;0
METSN25630:0;60.53;8.1948;772;-1.2;1;0
METSN84970:0;68.4912;16.6833;26;-0.8;1;0
METSN71320:0;63.5858;9.9705;23;6.5;1;0
METSN55425:0;61.5972;7.3892;1566;-4.1;1;0
METSN99540:0;69.147;29.244;56;-12.5;1;0
METSN52535:0;60.7525;4.715;19;7.1;1;0
METSN36200:0;58.3988;8.7893;12;6.5;1;0
METSN85040:0;68.368;15.943;8;1.5;1;0
METSN12980:0;61.1478;10.4548;388;1.5;1;0
METSN30875:0;59.8103;8.9863;314;3.6;1;0
METSN27271:0;59.27;10.4019;3;4.7;1;0
METSN28380:0;59.6247;9.6377;170;1.2;1;0
METSN2650:0;59.9119;11.5801;128;3.5;1;0
METSN68230:0;63.3987;10.4228;84;4.8;1;0
METSN82310:0;67.3084;14.4309;5;0.2;1;0
METSN85080:0;68.5172;15.8768;6;0;1;0
METSN60875:0;62.4848;6.4797;69;7.6;1;0
METSN77425:0;65.1662;13.3667;319;1.7;1;0
METSN42940:0;58.923;6.9097;560;2.5;1;0
METSN81650:0;66.9368;15.3155;39;-1.2;1;0
METSN89820:0;69.0222;19.3537;85;-7;1;0
METSN27403:0;59.2084;10.45442;1;5.3;1;0
METSN47350:0;59.4382;5.078;25;6.9;1;0
METSN4460:0;60.1173;10.829;170;2.8;1;0
METSN16040:0;61.7782;9.5413;309;1.6;1;0
METSN55770:0;61.1792;6.8608;45;7.7;1;0
METSN90510:0;69.6508;19.0065;3;-2.2;1;0
METSN51470:0;60.6455;6.222;328;3.6;1;0
METSN26790:0;59.7498;10.0275;4;3.9;1;0
METSN46610:0;59.6479;6.3499;5;4.3;1;0
METSN72710:0;64.509;12.0177;32;5.2;1;0
METSN13150:0;61.4582;10.1872;200;1.6;1;0
METSN40420:0;59.3505;7.3438;594;1.7;1;0
METSN27500:0;59.0272;10.5242;6;6.4;1;0
